id,RowId,ColId,QCScore,MedianExcess,NumExcess,LS3x3,DBSumPos,DBSumNeg,pGamma,pBeta,-ExcessHSA,-ExcessCRX,pGamma_scrambled
163,NCGC00179250,NCGC00167490,0,64.31181,18,-3.10201,0.10741,-0.64895,0.046651126,0.027487062,100.26423,100.26423,-0.001941294
164,NCGC00016961,NCGC00167490,0,48.38776,20,-4.75869,0.28821,-0.13814,0.013721044,-0.00724408,57.4284,-8.2174,0.021340243
165,NCGC00159445,NCGC00167490,0,68.42748,21,-6.86507,0.06777,-0.42108,0.029262713,0.005876497,107.4719,-2.69545,-0.009667564
167,NCGC00344515,NCGC00167490,0,2.83448,2,0,0.29363,0,-0.009646327,-0.091181402,-25.68504,0,-0.006042238
168,NCGC00016864,NCGC00167490,0,50.85019,13,-7.03353,0.1389,-0.47238,0.043639446,-0.009480641,106.52169,-11.76463,0.032026362
170,NCGC00017063,NCGC00167490,2,69.27719,12,-4.32148,0.18807,-0.05686,-0.00904701,-0.092888998,34.94925,34.94925,0.036708118
171,NCGC00161602,NCGC00167490,2,45.71108,11,-3.83706,1.65332,0,0.000986969,-0.11083204,30.92658,0,-0.00869809
172,NCGC00016528,NCGC00167490,0,52.70654,19,-3.72069,0.24386,-0.02282,0.00986102,-0.065183703,37.45056,-0.56253,-0.011265866
173,NCGC00264106,NCGC00167490,0,45.59242,21,-7.04422,0.43391,-0.13567,0.030057848,-0.012364725,110.21046,-11.07452,-0.000911062
174,NCGC00016612,NCGC00167490,3,84.58943,8,0.08867,1.45186,-0.05874,-0.01825516,-0.035941784,-79.95826,2.07107,0.011137945
175,NCGC00348199,NCGC00167490,0,49.76139,18,-4.18206,0.46875,-0.03079,0.022710906,-0.043566604,70.39583,70.39583,0.0090399
176,NCGC00090753,NCGC00167490,0,41.08175,14,-8.79858,1.23349,-0.2695,0.034925359,-0.029509583,108.48158,108.48158,0.013219311
177,NCGC00263785,NCGC00167490,0,29.62116,6,-0.11526,0.30458,-0.00456,-0.002278402,-0.008774706,-4.17774,0,-0.008702347
178,NCGC00179454,NCGC00167490,0,37.44058,11,-2.51818,0.57218,-0.07882,0.002089633,-0.017680123,20.81474,0,-0.005116136
179,NCGC00346487,NCGC00167490,0,73.39799,21,-7.5867,0.08786,-0.86507,0.035858272,0.032849997,107.5116,107.5116,-0.001322582
180,NCGC00346524,NCGC00167490,2,69.2106,17,-5.38382,0.08092,-0.2846,0.024604959,-0.083488286,77.19719,77.19719,-0.006209241
181,NCGC00346654,NCGC00167490,3,34.26497,15,-2.54374,0.40007,-0.30712,-0.003469149,-0.012107165,16.08968,16.08968,0.067348698
182,NCGC00346509,NCGC00167490,3,25.28544,15,-1.5245,0.48661,-0.44862,0.006554951,0.000743279,29.39008,29.39008,0.016103209
183,NCGC00263379,NCGC00167490,0,43.65727,16,-4.49106,0.28618,-0.22818,0.010950844,0.001518339,50.9671,50.9671,-0.004420261
184,NCGC00016526,NCGC00167490,0,53.33961,20,-4.74014,0.18437,-0.44439,0.011954117,0.006325744,73.26408,73.26408,0.002272955
185,NCGC00264109,NCGC00167490,0,47.936,21,-1.83582,0.40203,-0.00323,0.001984912,-0.057924626,24.85363,24.85363,0.002102725
186,NCGC00095992,NCGC00167490,0,73.11543,15,-1.16679,0.00712,-0.04694,0.000673679,-0.037868536,15.90131,0,-0.011011887
187,NCGC00273480,NCGC00167490,0,57.38193,16,-7.68355,0.14184,-0.83439,0.031526391,0.031171621,76.85478,76.85478,-0.015577686
188,NCGC00250408,NCGC00167490,3,84.52699,17,-3.48438,0.16697,-0.83751,0.012776297,0.010536833,81.18255,81.18255,0.003321997
189,NCGC00162409,NCGC00167490,0,85.64385,18,-4.26298,0.15076,-0.46721,0.00702697,0.005638848,48.21103,48.21103,0.004342872
190,NCGC00345829,NCGC00167490,0,52.24293,8,-1.56372,1.67427,-0.0622,-0.022976564,-0.041605832,-81.3242,-81.3242,0.014052864
191,NCGC00346484,NCGC00167490,3,92.89441,10,-0.32674,1.94819,-0.07603,-0.036449233,-0.065829838,-112.48877,-0.24981,0.009647824
192,NCGC00025060,NCGC00167490,0,31.89992,16,-3.51343,0.38964,-0.11094,-0.000434077,-0.008859819,17.31261,-1.281,-0.02616132
193,NCGC00263117,NCGC00167490,0,76.64666,20,-12.47471,0.23735,-0.88075,0.022299253,0.013219311,110.76346,110.76346,0.01356419
194,NCGC00185850,NCGC00167490,0,42.32853,15,-5.5968,0.12245,-0.90328,0.021586643,0.021239897,81.12437,81.12437,-0.003783548
195,NCGC00242478,NCGC00167490,0,55.69304,18,-7.38646,0.78408,-0.40588,0.006625501,-0.042780209,75.44678,75.44678,0.029704275
197,NCGC00247878,NCGC00167490,0,37.42634,13,-3.06266,0.14026,-0.16635,0.001100157,-0.02283649,39.99892,0,0.026267328
198,NCGC00241102,NCGC00167490,0,74.50511,23,-13.48686,0.03094,-1.36732,0.033445297,0.017701624,186.19718,186.19718,-0.017313035
199,NCGC00263215,NCGC00167490,3,74.2694,14,-7.45866,0.46051,-0.68302,0.007340462,0.005687247,42.10167,42.10167,0.007238883
200,NCGC00091112,NCGC00167490,3,88.28447,15,-1.51187,1.69522,-0.39476,-0.017559185,-0.056287257,-31.73348,-31.73348,-0.001660171
201,NCGC00162453,NCGC00167490,2,29.40679,14,-2.39362,1.04754,-0.00131,0.004715892,-0.082702811,35.9262,35.9262,0.000338882
202,NCGC00179536,NCGC00167490,3,70.6781,21,-21.98937,0.59245,-1.41754,0.043385014,-0.018342599,232.72458,232.72458,-0.002243839
203,NCGC00346634,NCGC00167490,3,26.03049,17,-5.10601,0.72661,-0.16794,0.006457964,-0.019855416,32.09119,32.09119,0.008437255
204,NCGC00345447,NCGC00167490,3,17.60561,8,-7.49034,0.53564,-0.36811,0.002281686,-0.012550411,21.12335,21.12335,0.025368582
205,NCGC00017363,NCGC00167490,2,46.09917,14,-2.85793,2.19074,-0.03055,-0.004686715,-0.123430204,5.68747,5.68747,-0.021007271
206,NCGC00015871,NCGC00167490,3,52.45209,9,-0.36515,1.79762,-0.38672,0.013743456,-0.067193647,54.71131,0.03393,-0.000698652
207,NCGC00024379,NCGC00167490,0,14.02746,10,-0.34246,2.36257,-0.00446,-0.031133661,-0.084347453,-143.69579,-143.69579,0.007486246
208,NCGC00346681,NCGC00167490,0,62.23269,21,-4.12001,0.71584,-0.05444,0.001169826,-0.041408477,31.28524,31.28524,-0.01192129
209,NCGC00249613,NCGC00167490,0,64.18006,16,-0.3553,0.3277,-0.11814,-0.005540845,-0.020771348,2.65432,2.65432,0.027936084
210,NCGC00242441,NCGC00167490,2,45.76593,23,-10.18749,0.9016,-0.12194,0.038279986,-0.095347219,144.88311,144.88311,0.013067114
211,NCGC00162440,NCGC00167490,3,85.84831,7,0.39233,1.17429,-0.15663,-0.011574672,-0.018796166,-61.42025,3.70447,-0.021069335
212,NCGC00162398,NCGC00167490,0,73.36367,23,-14.99788,0.06487,-1.67137,0.046182342,0.023750925,233.51007,233.51007,0.003225729
213,NCGC00346692,NCGC00167490,0,46.93462,19,-7.326,0.13229,-0.71133,0.013277518,0.011539149,82.34994,82.34994,0.006554951
215,NCGC00016961,NCGC00179250,0,23.35179,14,-0.73884,0.44851,-0.00065,0.018720633,-0.016364679,21.6383,21.6383,0.041397897
216,NCGC00159445,NCGC00179250,0,47.81268,25,-4.92212,0.00924,-0.65141,0.053027287,0.023035931,99.36423,99.36423,0.002146367
218,NCGC00344515,NCGC00179250,0,7.51419,5,0.44997,0.25132,0,0.000791136,-0.000403706,-12.31918,0,-0.01489419
219,NCGC00016864,NCGC00179250,0,56.2006,21,-2.81346,0.13742,-0.58127,0.085736197,0.037990752,113.44893,-10.21142,-0.003348497
221,NCGC00017063,NCGC00179250,0,33.79765,6,0.03611,0.18815,-0.00209,0.014816116,-0.0199052,13.1736,0,-0.007192824
222,NCGC00161602,NCGC00179250,0,51.38236,17,-2.76909,0.08314,-0.24197,0.028037989,0.004926681,85.9981,85.9981,0.049474506
223,NCGC00016528,NCGC00179250,0,22.35752,25,-2.23333,0.1841,-0.05028,0.020415208,0.001500907,48.23141,-3.19521,-0.049225778
224,NCGC00264106,NCGC00179250,0,35.56478,16,-3.14282,0.20715,-0.3588,0.072383299,0.014008009,123.9957,123.9957,0.01819045
225,NCGC00016612,NCGC00179250,3,0,0,0.22513,1.41327,0,-0.028221399,-0.030915311,-139.52049,-139.52049,0.041899803
226,NCGC00348199,NCGC00179250,0,29.50383,15,-2.78579,0.09565,-0.28318,0.060545647,-0.014461733,92.26281,92.26281,0.022779553
227,NCGC00090753,NCGC00179250,0,72.47168,17,-2.7771,0.04972,-1.06268,0.10380459,0.025930656,205.8692,205.8692,0.014542089
